Obs	Fat	Weight	Height	BMI	Age	Neck	Chest	Calf	Biceps	Hips	Waist	Forearm	PThigh	MThigh	DThigh	Wrist	Knee	Elbow	Ankle
18	22.78	63.9576	1.68656	22.485	21	33.0	98.5	34.0	28.3	97.5	73.0	24.3	55.0	49.0	38.0	15.5	34.5	26.0	20.0
19	24.30	62.5968	1.65100	22.965	19	31.5	86.0	36.0	27.0	101.5	71.0	24.0	60.5	52.5	42.0	15.5	39.5	25.5	22.0
20	13.91	58.9680	1.72720	19.767	21	31.5	88.5	34.0	24.0	97.0	68.5	22.0	56.0	49.0	37.5	14.5	33.5	22.8	20.0
21	13.75	50.3496	1.57480	20.302	20	31.3	83.0	33.5	27.0	87.0	67.2	23.5	52.0	47.3	35.2	16.0	33.0	23.0	20.3
22	21.54	62.1432	1.62560	23.516	21	33.0	88.3	35.5	26.0	100.5	77.0	23.0	59.5	53.5	41.0	15.3	34.4	24.0	21.5
23	18.24	48.5352	1.61290	18.657	18	29.5	82.5	32.2	24.3	89.2	63.2	21.2	54.0	44.0	37.2	14.8	34.3	21.8	21.5
24	24.43	70.3080	1.72720	23.568	18	33.0	90.1	38.7	29.5	103.0	73.0	27.5	64.5	58.1	44.3	16.5	39.1	26.0	22.0
25	13.70	50.8032	1.60020	19.840	20	29.8	80.6	34.5	26.0	84.0	65.5	22.5	52.0	48.5	40.0	14.5	34.2	22.5	20.2
26	20.21	63.5040	1.72720	21.287	19	31.0	84.5	38.0	26.0	102.0	70.0	22.5	60.0	51.5	40.1	15.5	37.0	24.0	24.5
27	17.32	52.1640	1.70180	18.012	22	30.5	76.0	32.5	24.0	92.3	65.2	22.0	52.5	46.5	36.5	14.5	34.5	22.5	20.2
28	22.29	50.3496	1.60020	19.663	19	29.5	82.4	33.5	26.3	90.0	64.5	22.1	55.3	48.1	39.4	15.0	34.5	22.5	20.0
29	21.21	60.7824	1.66370	21.960	24	32.0	86.0	38.0	25.5	96.0	70.1	24.1	58.0	52.8	42.3	15.5	37.5	23.5	21.5
30	25.77	59.4216	1.58750	23.579	19	33.0	83.3	38.5	28.2	97.3	70.3	24.2	59.5	53.0	41.5	16.2	37.5	24.1	23.5
31	20.28	54.8856	1.54178	23.089	23	32.4	88.5	66.0	26.0	94.0	67.2	23.5	56.0	49.3	39.7	14.6	35.0	23.5	20.5
32	19.04	58.5144	1.60782	22.635	21	32.5	83.5	36.0	28.0	95.2	68.5	25.0	58.2	54.0	41.3	16.5	34.5	24.3	21.0
33	26.06	64.8648	1.61798	24.778	22	31.5	89.0	38.0	28.7	103.0	73.2	25.0	60.0	54.5	42.3	15.0	37.0	25.8	21.0
34	23.20	62.5968	1.64770	23.271	19	32.0	86.3	35.7	28.0	100.0	73.2	23.0	60.5	53.5	41.0	15.8	37.5	25.0	22.3
35	14.99	53.9784	1.70180	18.638	22	31.0	85.4	33.5	24.3	88.0	63.0	22.3	53.0	49.0	37.5	14.5	34.5	23.2	20.5
36	27.07	66.6792	1.70180	23.024	20	31.5	85.5	38.3	26.5	100.5	68.0	23.5	61.5	57.2	43.3	15.5	36.0	23.8	22.0
37	24.38	68.9472	1.77800	21.810	21	32.0	91.0	35.5	27.0	99.3	75.5	24.3	59.0	51.0	40.4	15.6	37.0	24.4	21.5
38	19.60	53.5248	1.60020	20.903	20	31.0	82.5	33.4	26.8	93.2	66.5	23.0	53.0	47.0	36.5	15.0	35.7	22.8	21.4
39	20.38	58.5144	1.65100	21.467	22	31.0	83.0	38.8	26.0	97.3	70.3	24.2	55.0	53.0	39.0	16.7	36.5	24.5	24.5
40	23.34	64.8648	1.63322	24.318	19	32.3	85.5	41.2	26.5	98.3	68.3	24.5	57.5	55.0	42.8	16.2	39.0	25.0	24.0
41	21.30	63.0504	1.68910	22.099	21	29.8	82.0	37.0	27.0	102.5	69.5	24.0	59.5	52.5	42.0	15.5	38.0	24.5	22.5
42	22.06	59.8752	1.66878	21.501	19	31.0	43.0	37.5	26.0	100.0	66.0	23.0	58.0	51.0	40.5	16.3	37.0	23.5	23.0
43	27.30	77.1120	1.66370	27.859	20	34.0	95.0	41.0	32.0	104.0	84.3	26.3	63.0	57.0	43.0	18.4	37.5	26.0	23.5
44	18.83	43.5456	1.58750	17.279	19	28.0	73.5	32.5	23.0	88.0	58.0	20.1	50.0	48.4	36.6	14.0	33.0	21.0	19.5
45	26.95	49.4424	1.58750	19.619	24	31.0	83.5	35.0	24.0	90.0	64.5	22.0	52.0	46.0	37.3	14.5	33.5	22.5	21.0
46	25.22	65.7720	1.72720	22.047	20	30.5	85.0	35.3	27.3	105.0	65.3	23.5	64.0	58.3	47.0	15.5	38.3	24.5	20.5
47	20.23	50.8032	1.63830	18.928	20	32.5	84.5	34.5	23.5	91.5	61.5	21.5	55.5	48.0	38.5	15.5	36.0	21.5	21.0
48	32.23	67.5864	1.66370	24.418	21	32.0	86.3	39.6	29.7	107.3	72.3	25.1	65.0	57.8	44.3	16.7	39.0	26.3	23.0
49	23.10	61.6896	1.66878	22.152	20	33.5	88.3	37.0	28.2	94.2	72.0	22.5	56.5	52.0	38.2	15.5	34.2	23.2	21.0
50	22.30	67.5864	1.71450	22.992	22	31.0	94.0	36.5	28.0	100.0	74.0	25.3	59.5	56.5	41.0	17.5	36.4	25.3	22.0
51	17.92	59.4216	1.71450	20.215	19	32.0	83.4	34.4	24.5	96.2	65.0	22.5	56.0	49.2	38.2	14.5	34.0	22.5	21.0
52	17.62	44.4528	1.60020	17.360	20	27.1	79.0	29.0	23.2	86.5	60.2	21.1	48.0	43.0	33.5	13.5	32.3	22.1	18.0
53	25.44	56.2464	1.63830	20.956	19	30.0	83.2	35.5	26.5	92.5	69.3	23.2	56.3	50.1	37.0	15.0	33.5	25.0	21.5
54	30.22	68.4936	1.60020	26.749	18	32.5	91.0	39.0	28.3	105.0	77.2	24.7	62.0	55.3	44.0	17.0	39.5	25.2	24.0
55	15.66	66.2256	1.80340	20.363	20	31.5	87.3	34.0	26.5	102.0	67.0	23.1	61.0	52.0	38.3	15.0	36.4	24.5	22.5
56	20.14	62.1432	1.62560	23.516	22	32.5	90.5	38.0	27.0	97.5	70.3	24.2	57.0	55.0	41.8	16.0	35.5	24.0	21.5
57	24.12	62.1432	1.67640	22.113	18	33.5	90.0	36.7	26.8	95.0	75.0	24.5	56.4	51.0	39.3	16.0	36.0	24.2	22.0
58	23.28	65.3184	1.68910	22.894	23	32.5	90.2	36.5	28.0	101.2	71.2	25.2	60.0	55.5	42.5	16.5	37.2	24.7	22.5
59	30.42	68.4936	1.65100	25.128	19	32.5	89.3	39.5	28.2	102.0	80.1	26.2	65.0	58.0	44.2	18.0	38.5	26.7	22.5
60	27.06	58.0608	1.57480	23.412	20	32.0	87.3	35.0	27.0	99.5	69.2	24.0	59.5	53.4	40.0	14.5	35.2	24.2	21.5
61	24.65	68.9472	1.72720	23.112	21	31.8	87.3	37.5	32.1	98.5	77.5	25.0	58.5	52.5	40.3	16.0	37.5	27.2	20.5
62	24.53	55.3392	1.63830	20.618	19	29.0	86.0	33.5	27.0	94.5	67.5	23.0	57.0	55.5	39.3	16.0	33.5	23.5	20.3
63	24.32	61.6896	1.63830	22.984	18	32.0	87.5	34.3	25.8	95.2	68.0	24.0	54.2	49.0	39.0	15.8	35.8	23.7	21.2
64	22.40	55.7928	1.63322	20.917	18	32.6	82.5	32.5	25.5	92.2	67.6	23.0	55.0	48.0	37.5	15.5	35.0	23.2	21.3
65	28.24	63.9576	1.65100	23.464	18	31.0	88.5	37.0	25.5	97.0	75.0	24.6	59.4	50.5	38.0	16.3	35.7	23.2	21.5
66	25.57	59.8752	1.62560	22.658	19	30.0	84.5	34.3	25.5	92.8	66.2	23.5	57.2	52.6	40.0	15.3	36.6	21.7	19.8
67	19.84	61.6896	1.62560	23.345	21	32.2	83.0	37.0	26.0	93.0	66.4	24.5	56.7	50.9	38.3	16.5	34.8	23.0	21.7
68	35.66	76.6584	1.62560	29.009	23	35.0	91.0	41.3	28.8	109.8	84.5	25.2	65.5	59.5	45.0	16.1	36.7	24.2	22.2
69	22.63	75.2976	1.80340	23.153	19	33.0	90.5	42.3	28.0	106.0	76.0	26.5	62.5	57.0	41.3	17.5	38.2	26.2	25.0
70	14.54	57.6072	1.71450	19.598	21	31.5	85.3	37.2	26.0	97.0	66.0	23.5	55.0	49.5	37.2	15.5	34.5	23.5	23.0
71	19.60	59.4216	1.75260	19.345	22	31.0	83.0	34.5	26.0	96.5	65.0	22.5	57.0	54.2	39.0	15.0	36.0	23.5	21.5
72	20.61	59.8752	1.65100	21.966	19	32.5	87.0	34.0	29.5	96.5	70.2	24.0	56.5	50.0	39.0	16.0	34.5	24.0	20.3
73	31.43	74.3904	1.67640	26.471	19	34.0	96.0	39.0	29.5	107.0	87.0	24.5	64.0	56.0	24.2	16.0	39.0	25.5	22.4
74	22.93	65.7720	1.72720	22.047	19	34.5	86.5	36.5	29.0	100.3	72.0	24.0	58.5	53.3	48.2	16.5	35.5	26.0	22.3
75	13.29	57.1536	1.68910	20.032	24	31.5	85.5	34.2	25.5	97.0	67.3	24.5	56.2	53.0	41.3	16.3	33.5	24.0	22.5
76	22.48	58.9680	1.66878	21.175	20	31.8	86.0	34.5	26.3	97.5	72.5	24.0	56.0	51.5	37.0	16.8	34.5	25.2	21.0
77	24.57	68.0400	1.69164	23.777	20	33.5	88.0	40.5	27.0	104.2	73.5	25.0	63.0	51.0	44.2	16.5	37.0	25.0	24.0
78	24.76	65.3184	1.70180	22.554	23	31.0	88.5	26.1	28.2	104.0	67.5	24.5	60.0	53.0	30.0	15.8	36.0	25.0	21.4
79	18.65	51.7104	1.61290	19.878	19	30.0	81.5	34.0	26.5	93.0	65.0	23.0	54.3	49.0	37.3	15.5	34.0	22.5	19.0
80	22.88	63.9576	1.73990	21.127	18	31.0	89.3	37.0	27.0	100.0	70.0	23.5	59.0	52.0	42.3	15.5	38.0	24.5	22.2
81	22.79	70.7616	1.70180	24.433	20	34.5	92.5	40.3	30.5	103.2	75.0	27.0	63.0	58.0	45.3	17.5	38.3	27.8	25.0
82	23.15	61.6896	1.80340	18.968	20	32.5	83.0	34.0	25.0	99.2	69.2	27.3	58.0	50.1	37.0	15.4	36.0	23.5	21.5
83	28.98	66.2256	1.65100	24.296	19	31.5	94.0	36.0	28.5	104.2	78.2	24.5	63.0	55.0	42.5	16.0	38.5	25.2	21.5
84	25.97	74.3904	1.72720	24.936	19	33.0	91.0	41.2	30.5	107.0	73.5	27.5	65.5	59.0	44.5	17.5	39.0	27.2	24.5
85	22.54	65.7720	1.70180	22.710	19	31.5	89.5	35.0	27.0	102.0	70.0	25.0	61.5	55.0	41.0	16.5	36.0	25.0	20.5
86	19.04	47.6280	1.64338	17.635	21	30.5	80.0	32.0	22.5	86.0	63.0	21.3	50.0	47.0	36.0	15.0	34.0	21.0	20.0
87	20.94	57.1536	1.62560	21.628	21	33.0	85.0	36.0	27.0	96.0	66.0	24.3	57.0	52.5	38.3	16.4	34.5	24.3	21.0
88	15.54	53.9784	1.66878	19.383	20	29.5	86.0	34.2	24.5	94.0	64.0	22.5	53.0	49.0	35.3	16.0	34.0	23.0	21.0
89	15.03	47.6280	1.66878	17.103	20	30.5	80.5	30.5	23.3	88.0	61.5	20.5	50.2	46.5	34.1	13.5	33.0	22.0	18.8
90	24.36	70.3080	1.73482	23.361	24	33.0	91.5	39.5	27.5	101.3	75.2	24.5	61.0	54.0	41.0	16.0	38.0	24.5	22.5
91	34.71	72.1224	1.75260	23.480	20	36.0	91.5	35.5	29.5	105.5	80.0	24.5	61.3	54.0	42.5	16.0	39.2	25.0	20.5
92	16.57	50.8032	1.61290	19.529	23	30.5	80.0	33.5	24.0	95.0	63.5	22.5	54.0	46.5	37.0	15.0	33.0	22.0	21.4
93	21.72	57.6072	1.65100	21.134	18	31.0	81.0	34.0	26.0	95.0	68.0	23.0	57.0	52.0	42.5	15.5	36.0	23.5	20.5
94	18.60	59.8752	1.74498	19.664	22	30.0	84.0	35.0	25.0	96.0	67.5	22.0	55.0	48.0	35.5	15.5	36.0	23.5	20.5
95	13.99	57.6072	1.79070	17.965	21	30.0	84.0	35.5	23.3	93.0	65.0	21.3	52.5	50.0	36.5	14.5	33.5	22.0	21.5
96	26.33	69.8544	1.68910	24.484	21	31.0	89.0	38.5	29.5	104.5	76.0	26.5	65.0	55.0	45.5	16.3	39.5	26.0	22.5
97	16.75	54.8856	1.71450	18.672	19	30.0	84.0	33.0	24.3	93.0	61.0	23.7	55.0	47.5	36.5	16.0	35.0	24.3	21.5
98	20.87	60.7824	1.70180	20.988	19	33.5	86.0	37.5	28.0	97.0	70.0	24.2	58.0	54.3	39.0	16.0	35.5	24.3	20.5
99	14.70	49.8960	1.67640	17.755	20	31.0	78.5	34.2	23.5	87.0	62.3	22.5	51.5	48.0	36.5	15.0	33.5	22.5	20.5
100	19.93	49.8960	1.66370	18.027	20	29.5	83.0	32.3	24.0	92.0	63.0	22.0	52.0	48.5	35.0	15.0	34.0	23.0	20.0
101	20.88	59.8752	1.71450	20.369	20	30.0	82.5	36.5	24.0	99.5	68.0	23.3	58.5	53.0	41.0	15.5	36.5	24.0	22.5
102	18.18	52.6176	1.65100	19.304	21	31.0	81.0	33.0	25.5	93.0	63.5	23.7	53.5	48.5	36.5	16.3	33.0	23.0	20.3
103	25.13	64.4112	1.65100	23.630	20	33.0	89.0	35.5	29.0	102.0	73.0	24.3	61.0	56.0	43.3	16.3	36.0	23.3	21.3
104	33.81	74.8440	1.71450	25.461	18	33.0	84.0	37.5	29.5	106.0	96.0	25.3	61.0	52.0	43.0	17.3	39.0	26.0	21.5
105	26.32	69.4008	1.72720	23.264	21	33.0	91.0	37.0	28.0	108.0	79.0	23.0	65.0	54.0	39.3	15.0	34.5	24.3	21.0
106	30.57	77.1120	1.67640	27.439	20	32.2	89.7	42.0	30.0	112.3	77.0	26.0	67.5	61.0	47.2	17.5	41.5	25.5	25.0
107	16.11	64.4112	1.66370	23.271	20	31.7	84.5	37.0	27.5	105.0	71.0	24.5	61.3	52.0	41.2	16.5	38.0	24.5	22.7
108	32.36	74.3904	1.70942	25.458	20	32.5	93.0	37.5	29.0	109.5	83.5	24.5	63.5	54.5	42.0	16.5	38.0	25.5	21.5
109	22.87	52.6176	1.61290	20.226	21	30.0	79.0	35.0	26.0	94.3	67.0	22.7	58.0	53.5	41.0	14.5	33.0	22.5	20.0
110	16.96	54.8856	1.66370	19.829	20	31.2	75.5	36.0	23.5	95.4	64.0	22.5	56.5	51.5	40.0	15.5	35.5	22.3	21.7
111	17.10	54.8856	1.67640	19.530	20	29.5	84.3	34.0	25.0	91.0	62.5	22.5	55.0	51.5	38.5	15.0	34.5	22.5	21.0
112	19.01	68.4936	1.72720	22.960	23	34.0	91.3	35.8	28.7	104.5	71.3	25.0	61.3	54.3	39.0	16.5	35.0	25.0	21.5
113	14.72	50.3496	1.61290	19.355	20	30.0	80.3	34.2	23.0	91.0	62.7	21.5	53.5	49.5	38.0	14.5	33.5	22.5	20.5
114	25.80	63.9576	1.70180	22.084	19	31.5	91.0	35.5	30.0	102.5	72.0	24.0	60.0	50.0	38.3	15.2	36.0	24.5	20.0
115	17.63	60.3288	1.67640	21.467	18	31.5	86.0	36.0	28.3	97.5	68.0	24.5	59.5	55.0	42.0	16.5	35.5	24.0	21.0
116	18.98	54.4320	1.77800	17.218	20	32.0	82.0	30.5	22.8	96.0	65.5	21.0	56.0	46.0	33.5	14.0	33.0	22.0	19.5
117	12.76	53.5248	1.70180	18.482	21	30.5	79.0	34.0	25.3	96.0	62.0	23.3	53.0	48.0	36.0	15.2	34.5	23.5	20.3
118	20.29	49.4424	1.56210	20.262	22	28.5	81.0	32.5	24.0	92.5	69.2	21.5	53.2	46.5	35.0	14.0	34.0	22.0	21.0
119	25.72	59.8752	1.65100	21.966	23	31.5	84.5	37.0	29.0	98.0	66.0	24.0	62.0	54.0	43.3	15.3	37.0	23.7	22.3
120	26.68	62.5968	1.64338	23.178	1	34.0	86.5	36.0	28.5	98.5	72.5	24.5	58.0	53.5	42.5	15.5	37.5	25.0	23.0
121	20.70	56.2464	1.68910	19.714	21	31.5	84.0	34.0	26.3	94.5	65.0	23.5	54.5	49.5	36.5	15.3	33.0	24.0	20.0
122	24.64	64.4112	1.65100	23.630	21	35.0	91.0	38.0	32.0	96.0	75.0	26.0	58.0	54.0	42.5	17.0	36.0	26.0	22.5
123	16.28	57.6072	1.67640	20.499	20	31.5	85.0	35.5	27.0	92.3	70.0	24.0	56.0	48.0	36.3	16.0	35.0	24.0	21.3
124	15.86	56.7000	1.71450	19.289	21	30.5	85.5	34.5	25.0	93.0	71.0	22.5	53.0	49.0	38.3	15.0	24.7	23.0	21.5
125	17.39	59.8752	1.77038	19.104	19	31.5	87.0	33.0	25.5	95.3	71.0	23.2	55.0	47.0	37.7	16.2	35.5	23.7	20.5
126	10.33	48.5352	1.75260	15.801	19	29.0	76.0	32.5	21.0	87.0	63.0	21.0	45.0	38.0	35.0	14.3	34.5	22.0	20.0
127	17.15	65.3184	1.72720	21.895	23	32.8	87.0	38.0	26.5	103.5	67.0	24.0	61.5	56.5	45.0	16.0	37.0	25.0	22.5
128	26.45	62.5968	1.66370	22.615	21	31.0	90.5	35.7	28.3	103.0	69.0	23.5	60.0	54.0	38.0	16.0	35.0	24.0	21.0
129	26.90	69.8544	1.77800	22.097	21	33.0	92.0	36.0	28.0	104.3	77.0	24.5	57.7	49.0	39.0	16.0	37.0	24.7	21.0
130	22.15	57.6072	1.62560	21.800	20	31.0	87.0	35.5	27.0	91.0	71.0	23.5	52.0	48.0	37.0	16.0	34.0	23.5	21.0
131	31.25	75.7512	1.76530	24.308	20	32.5	90.5	37.0	28.5	110.0	77.0	24.0	67.0	57.0	45.5	15.0	41.5	25.0	23.0
132	15.73	49.4424	1.60020	19.309	22	32.0	83.0	32.0	25.0	90.5	66.0	22.0	52.5	46.0	38.5	14.7	31.0	22.5	19.5
133	26.75	59.8752	1.65100	21.966	20	30.3	84.0	25.5	28.0	103.0	70.0	22.7	59.0	47.7	39.3	15.0	35.0	24.0	20.0
134	15.29	59.4216	1.68402	20.953	21	32.5	84.0	25.5	25.5	94.0	70.0	23.0	57.0	50.5	39.3	15.5	36.0	23.5	22.5
135	21.44	52.1640	1.65100	19.137	23	29.5	49.5	35.0	26.5	93.5	61.0	22.7	53.0	48.5	38.5	16.0	35.0	23.0	21.5
136	15.71	64.8648	1.79578	20.114	20	32.5	82.5	35.0	27.0	98.5	69.0	23.0	57.3	51.0	40.5	15.5	38.0	15.5	21.5
137	36.14	75.2976	1.62560	28.494	25	33.0	94.0	38.0	30.0	115.0	85.0	25.0	69.5	60.7	50.5	16.0	42.0	25.5	22.5
138	23.53	62.1432	1.75260	20.232	18	30.3	84.0	36.0	25.5	103.0	66.5	23.5	60.0	52.5	41.5	16.5	37.5	24.0	21.7
139	13.51	56.2464	1.72720	18.854	21	30.5	76.5	36.5	22.0	95.0	65.0	22.0	56.2	50.0	37.0	15.0	34.5	22.5	21.7
140	36.46	73.9368	1.66370	26.712	19	31.5	81.0	39.5	32.5	105.0	94.0	26.0	65.0	56.0	43.0	16.7	39.0	26.0	23.0
141	10.07	48.9888	1.56210	20.076	21	30.0	80.0	34.7	24.7	92.5	64.5	22.5	54.0	47.0	37.0	14.5	33.0	22.0	20.0
142	18.75	64.8648	1.77800	20.518	21	30.0	90.1	35.0	29.5	94.5	66.0	24.0	58.0	55.0	42.0	15.0	35.5	24.0	21.0
143	23.11	56.7000	1.60020	22.143	21	32.0	84.5	36.5	26.5	93.0	71.0	23.0	57.0	51.5	39.0	15.0	34.3	23.5	21.0
144	18.27	58.0608	1.65862	21.105	18	31.5	84.5	36.5	26.0	97.0	69.0	23.5	58.0	52.5	41.5	16.0	36.0	24.5	23.0
145	22.39	58.9680	1.67640	20.983	20	30.5	79.0	38.0	24.5	103.0	64.5	22.5	57.0	51.0	41.0	15.5	39.0	24.0	23.0
146	17.56	56.2464	1.62560	21.285	21	31.0	82.0	35.5	25.7	94.0	64.0	21.5	56.0	52.5	39.0	15.0	35.0	23.0	20.5
147	18.13	58.0608	1.75260	18.902	20	31.0	82.5	34.5	26.0	94.5	66.0	23.0	54.0	50.0	38.0	15.5	33.5	24.2	20.0
148	12.08	54.8856	1.73228	18.290	22	31.5	85.0	35.0	27.0	88.5	62.0	23.0	50.0	46.6	35.0	15.0	33.0	23.0	20.5
149	23.06	76.6584	1.70688	26.312	22	32.0	85.5	35.5	27.7	98.5	73.0	24.5	58.0	51.5	38.0	16.3	36.5	25.0	21.5
150	23.20	58.5144	1.73990	19.329	22	30.5	82.0	34.5	26.0	98.0	63.5	22.5	56.5	50.5	40.5	15.0	35.3	23.0	21.3
151	34.24	86.1840	1.66370	31.137	21	35.0	100.0	42.0	34.5	110.5	90.0	29.0	69.5	63.0	49.0	19.0	41.5	29.0	24.5
152	31.87	65.3184	1.60020	25.509	22	33.0	86.0	38.0	32.0	105.5	74.0	26.5	61.5	54.0	42.5	17.5	38.5	27.0	22.7
153	25.02	48.0816	1.69418	16.752	21	30.0	76.0	31.7	23.0	93.0	64.0	20.0	49.7	44.0	33.0	14.0	33.5	21.5	20.0
154	26.64	64.4112	1.53670	27.276	19	34.0	94.0	39.0	32.5	99.0	77.0	26.5	60.0	55.5	44.0	17.3	35.0	26.0	22.5
155	12.88	42.1848	1.61290	16.216	19	29.0	75.0	31.5	21.5	84.0	58.5	20.0	45.5	42.5	33.3	14.5	33.0	21.0	19.5
156	21.20	48.9888	1.66878	17.591	20	29.3	77.5	34.0	23.7	90.3	60.0	21.5	52.0	46.0	37.3	13.7	35.5	21.5	20.0
157	21.24	53.0712	1.60020	20.726	20	31.5	83.2	34.0	28.5	91.0	67.0	23.0	55.0	50.7	35.0	15.0	33.0	23.0	20.3
158	14.07	48.5352	1.66370	17.535	20	29.3	80.0	31.0	23.5	88.5	63.0	22.0	50.5	40.5	35.0	15.0	34.0	22.0	19.0
159	21.55	59.4216	1.63830	22.139	20	31.0	85.0	37.5	27.5	95.8	68.0	25.0	58.0	53.0	43.5	16.0	38.0	24.3	23.0
160	21.36	50.3496	1.56210	20.634	21	30.0	78.0	36.0	25.5	89.5	65.0	22.5	53.5	49.5	36.0	15.0	32.5	23.3	20.3
161	27.84	55.3392	1.63830	20.618	20	31.0	81.0	35.0	24.5	100.3	66.0	22.0	61.5	55.5	39.0	15.3	36.0	23.0	21.0
162	27.29	58.0608	1.62560	21.971	22	30.7	87.5	33.5	26.5	99.3	69.5	23.0	56.5	50.0	37.3	15.3	32.0	23.7	20.0
163	17.64	54.4320	1.69418	18.964	22	31.0	81.5	34.7	25.0	93.0	63.0	22.5	54.5	50.0	38.5	15.5	36.5	24.5	21.0
164	16.62	53.5248	1.60020	20.903	24	29.5	80.0	34.0	24.0	94.0	62.3	21.5	54.0	46.0	35.3	15.0	32.5	21.0	19.0
165	28.62	73.0296	1.68910	25.597	20	34.0	95.4	39.5	33.0	104.0	80.0	27.0	62.0	56.5	42.3	17.5	36.0	27.0	24.3
166	27.46	64.8648	1.72720	21.743	20	32.0	84.5	35.0	31.5	98.5	72.0	24.5	56.0	53.0	40.3	16.5	37.5	21.5	20.3
167	12.13	48.5352	1.65100	17.806	19	28.5	81.0	33.0	23.0	87.7	61.0	22.0	50.3	45.5	34.5	14.7	33.0	22.3	20.0
168	23.93	56.2464	1.72720	18.854	24	31.0	82.0	34.7	26.0	95.0	65.0	23.0	56.0	49.0	38.5	15.0	34.7	23.0	20.7
169	38.49	74.8440	1.62560	28.322	20	33.7	98.0	38.7	31.0	107.0	84.5	25.7	64.0	59.0	46.0	16.7	38.0	24.5	23.3
170	28.99	76.6584	1.73990	25.323	22	31.0	84.5	34.5	27.5	98.0	72.5	23.5	58.5	53.0	40.5	16.3	36.5	24.5	22.3
171	14.44	48.9888	1.60020	19.132	20	30.5	82.0	31.5	26.0	89.5	64.0	22.5	52.7	48.3	36.0	15.0	33.5	22.5	20.5
172	22.01	57.6072	1.70180	19.891	21	31.5	84.5	36.0	23.0	92.5	65.0	23.5	54.0	49.0	38.3	16.3	36.7	23.0	21.5
173	19.36	57.6072	1.62560	21.800	20	30.3	82.2	39.5	26.5	97.5	66.3	24.0	55.5	51.0	38.0	15.3	37.0	24.0	21.7
174	29.47	57.6072	1.60782	22.284	20	32.3	85.0	39.5	26.0	94.5	68.0	23.5	59.7	51.5	39.0	16.0	39.0	23.5	20.5
175	23.44	57.1536	1.62560	21.628	22	33.0	85.0	36.5	28.0	94.5	70.0	24.5	56.0	50.5	39.0	16.0	37.0	23.5	20.0
176	25.94	67.1328	1.67640	23.888	20	32.0	88.0	38.1	31.7	102.0	75.5	25.0	64.0	58.0	44.0	16.0	40.0	25.0	21.0
177	13.64	55.7928	1.61290	21.447	19	31.0	85.0	35.0	26.0	94.7	67.5	23.3	58.0	52.0	38.5	15.5	34.5	23.0	20.3
